available_bikes,last_update,name,latitude,longitude,available_bike_stands,bike_stands
3,20:24:29,00222 - CAMBOU / ROCHE,43.5628140764194,1.47517386253435,17,20
7,20:30:27,00004 - STE URSULE,43.60233609279122,1.442047437838665,13,20
8,20:20:46,00136 - FONTAINES,43.602050919601446,1.414531359571464,7,15
1,20:21:37,00142 - SEVERAC,43.58807,1.42438,18,20
21,20:30:04,00028 - PLACE SAINT PIERRE,43.603437067435614,1.436080661568886,1,22
12,20:21:33,00182 - CHAUBET,43.60593083247726,1.481957162051808,8,20
9,20:23:11,00094 - SEMARD GARE ROUTIERE,43.613829128033615,1.451479779266325,13,22
0,20:29:08,00127 - BEGUE - DEMOISELLES,43.589803552331645,1.455945448109943,15,15
1,20:28:21,00279 - GUY ESPAGNO,43.61354,1.40142,17,18
2,20:27:10,00251 - BLUM / JOUHAUX,43.614208387732,1.4616307898919,18,20
7,20:28:01,00226 - FONTAINES /CASSELARDIT,43.60419040838992,1.407211289929025,10,17
1,20:24:27,00122 - PASSERELLE HAEDENS,43.613472358330974,1.430120187266013,18,19
4,20:27:36,00026 - DALBADE - DE GORSSE,43.59804753924319,1.443005133993703,18,22
4,20:28:58,00230 - RANGUEIL TRIPODE B,43.567221153708445,1.467678323560475,16,20
3,20:26:50,00042 - DAURIAC ESCANDE,43.601588174955744,1.456048100267833,16,20
13,20:30:33,00219 - PUCCINI/ BLAGNAC,43.614589794633694,1.411359591750251,5,18
14,20:26:08,00163 - BEDOUCE / MIDI,43.581459211587536,1.462194464667426,6,20
8,20:30:24,00133 - MARCHE AUX COCHONS,43.620735968782895,1.435597311467436,14,22
6,20:29:29,00205 - COTTAGE/ RIEUX,43.58588613821349,1.47508540800772,12,18
18,20:22:39,00086 - HERACLES - BEARNAIS,43.60802027853654,1.428450231443648,0,20
0,20:25:55,00066 - JARDIN ROYAL,43.596478222107635,1.451093339873272,22,23
14,20:25:30,00240 - RTE DE BLAGNAC / JOB,43.6172496485261,1.408124460028565,3,18
11,20:28:08,282 - RICHARD WAGNER,43.60614,1.41476,7,18
2,20:30:09,00018 - STRASBOURG JEAN JAURES,43.60629718770727,1.448244408330328,22,25
13,20:28:33,00130 - BILLIERES - PATTE D OIE,43.59679331319425,1.424139385785053,2,15
9,20:27:53,00012 - PARGAMINIERES,43.60459,1.44002,0,11
20,20:24:27,00117 - BILLIERES -POSTE,43.596852956620715,1.425882273289917,0,20
16,20:30:14,00043 - DUPUY,43.599990271041186,1.454093824286969,6,22
27,20:27:38,00061 - BONREPOS,43.61071810091073,1.452455826571967,1,28
5,20:26:34,00165 - PLACE DES AVIONS,43.57686792022356,1.460187742067113,10,15
4,20:25:12,00270 - SILVIO TRENTIN,43.62413,1.42778,12,16
11,20:28:36,00103 - ST MICHEL ST CATHERINE,43.590605082277605,1.445174430937582,9,20
15,20:28:02,00017 - STRASBOURG SARDANE,43.60610692889793,1.448061825303155,8,23
11,20:30:31,00046 - PLACE DES CARMES,43.597401475499026,1.445315649331453,9,20
2,20:28:59,00218 - AMOUROUX /STE AUGUSTINE,43.627603587351345,1.461907953641387,16,18
12,20:24:03,00203 - ST EX. - PETIT PRINCE,43.5834192540153,1.470077844843929,8,20
5,20:29:39,00032 - MUSEE ST RAYMOND,43.60765033417208,1.441209573825458,7,12
3,20:25:23,00005 - LEDUC,43.61184,1.45752,16,19
10,20:29:49,00073 - FITTE TEINTURIERS,43.59628476386365,1.432075106068745,6,16
20,20:28:20,00050 - GARONNETTE,43.594569737633854,1.440920059367141,3,23
24,20:30:22,00020 - CARNOT TROIS JOURNEES,43.604717604204446,1.449629619920856,3,27
11,20:27:21,00155 - RECOLLETS,43.58386908499996,1.443635078857447,8,20
7,20:28:08,00264 - LAFOURGUETTE,43.56507,1.41028,11,18
17,23:07:45,00256 - PLACE DE LA RONTONDE,43.59666,1.4842,1,18
13,20:29:39,00091 - ARCOLE BALANCE,43.611584087589904,1.439737579879722,8,21
8,20:29:30,00185 - ROUBICHOU ARLES,43.62704846650827,1.465517338373819,7,15
7,20:29:51,00027 - QUAI DE TOUNIS,43.59938372814817,1.440461106405702,16,23
4,20:23:10,00220 - TABAR /UNIVERSITE,43.574612132702526,1.40230245215212,15,19
2,20:27:18,00209 - BAROUX/ DARASSE,43.589466982143435,1.478914286004687,16,18
16,20:20:36,00078 - PLACE INT ST CYP. DARRE,43.59812186858788,1.431415230750123,0,17
3,20:29:10,00149 - RAISIN MINIMES,43.615368584913504,1.448486709552681,18,22
12,20:21:28,00059 - CONCORDE,43.613590372531775,1.446485498451865,7,19
15,20:29:06,00107 - SEBASTOPOL,43.609753361824794,1.430389555237135,12,27
20,20:26:48,00246 - WAGNER / JEAN BRUNHES,43.60390532418828,1.420141760360439,0,20
9,20:28:43,00099 - REMPART ST ETIENNE,43.60082502483391,1.450654849861206,6,16
12,20:21:04,00267 - GONIN,43.57452,1.48278,3,16
0,20:26:48,00113 - MUSEUM LAMARCK,43.592355124495455,1.449215732146181,20,20
13,20:26:07,00148 - COLLIGNON,43.61692696530316,1.444528167445985,6,19
10,20:25:29,00167 - LAPUJADE-FLANDRES,43.62409340165932,1.454698517821249,7,18
13,20:27:46,00265 - PASSAGE BORDELONGUE,43.56793,1.41325,5,18
7,20:29:18,00116 - ST MICHEL NOTRE DAME,43.588359791103294,1.446483165667178,8,15
5,20:30:20,00034 - SAINT LAZARE,43.609650036285025,1.446076879873296,14,19
11,20:23:36,00119 - CHAPOU,43.609967343094006,1.419524853208122,13,24
6,20:25:41,00275 - PLACE DES PRADETTES,43.58171,1.38887,11,17
16,20:23:05,00160 - THEATRE JULES JULIEN,43.573924940202886,1.451999386383253,1,17
2,20:26:14,00232 - NARBONNE/ MIROUSE,43.569437251134566,1.456086445970436,13,15
7,20:24:13,00211 - LE DORMEUR/ LA TERRASSE,43.58350615923425,1.48781984362323,11,18
13,20:27:11,00132 - MINIMES BILARD,43.62293779541603,1.434473692188769,6,19
7,20:29:34,00145 - GOUNOD - GARROS,43.61395913175851,1.424941224096277,13,20
2,20:28:36,00110 - CABANEL - SERRES,43.61375517689823,1.438157046235524,15,18
17,20:25:34,00125 - BARRIÈRE DE PARIS,43.6269176821576,1.434225150757254,8,25
10,20:29:17,00063 - PISCINE LEO LAGRANGE,43.607433487401345,1.454189017923435,12,22
4,20:20:22,00177 - BAILLAUD BRUNAUD,43.61743867816197,1.46539185105244,16,20
3,20:27:32,00200 - PLACE DE L'ORMEAU,43.57906922965151,1.483669775054849,14,17
12,20:24:12,00014 - PERIGORD,43.60735205357881,1.444269620551324,5,17
6,20:21:27,00181 - PLANA GARNIER,43.610549420565,1.4795004816774,11,17
1,20:25:38,00069 - FEUGA,43.59253,1.4429,17,18
6,20:23:55,00157 - U.R.S.S  PEYROUSET,43.582831686768735,1.448634234326797,16,19
6,20:27:29,00189 - MURET BOUTINON,43.581352282638655,1.425325828280708,14,20
